Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Exercise_11,Exercise_12,Exercise_13,Exercise_14,Exercise_15,InjuryScore
4,2,1,5,7,6,9,7,8,7,8,8,12,11,12,0.4076870280802861
14,14,16,20,19,17,17,17,19,19,19,20,22,22,21,0.523970049625755
16,16,16,20,19,17,17,19,20,18,20,20,23,23,23,0.5736698856189457
1,2,4,9,6,8,8,5,10,10,6,8,13,13,13,0.3622958940337371
15,14,15,18,17,20,19,17,17,18,18,17,21,22,23,0.5685447571589641
16,14,15,19,17,19,20,17,19,19,18,19,22,21,22,0.9666979932130747
2,1,4,7,7,9,6,7,8,9,8,9,12,12,13,0.16732265435144733
1,2,1,10,7,5,5,10,8,8,5,7,12,12,13,0.008584156320560643
4,4,4,10,8,9,5,8,8,9,6,7,12,13,13,0.13832530718825586
15,16,15,17,18,20,18,20,19,17,17,18,21,23,21,0.6993908623177758
4,2,2,10,10,7,6,10,8,6,9,8,11,12,12,0.21779505267446997
3,1,3,5,5,7,10,7,6,7,5,8,11,13,11,0.3527489957382903
2,1,3,5,8,7,6,9,8,7,6,9,12,11,13,0.05218742486074279
2,2,4,10,9,6,5,8,7,9,6,7,13,11,12,0.3676963363034774
3,2,1,10,6,6,10,5,8,5,7,9,11,11,13,0.28714030870314555
14,14,15,18,18,20,20,17,17,20,20,18,21,21,22,0.7195403675417217
2,1,3,10,5,6,10,7,10,6,5,9,11,12,13,0.21246315757068301
2,3,1,5,8,10,5,5,10,5,8,7,11,13,12,0.4038389689695856
15,14,14,20,17,19,20,18,17,17,20,20,21,23,22,0.7378005025376129
15,16,14,17,18,19,20,19,20,20,17,18,22,21,22,0.8436825775155793
16,15,15,20,17,20,19,17,18,17,18,18,22,23,22,0.809829287459115
15,15,16,17,19,20,19,18,17,17,20,20,22,21,21,0.8234849364353923
1,4,4,8,7,8,9,8,5,10,10,7,11,11,11,0.026761421580797085
15,15,15,17,20,19,20,19,20,20,18,18,23,23,23,0.9728326072045702
4,1,3,5,10,10,5,8,7,9,5,8,12,12,11,0.4718117385251235
15,15,15,20,20,20,17,17,18,19,19,17,22,23,21,0.8622074239165888
16,14,16,19,18,18,18,19,18,17,19,18,22,22,22,0.5027400674916901
15,15,15,20,18,20,17,19,19,20,17,19,21,21,23,0.6540359702818166
2,1,4,8,6,5,7,9,6,10,7,7,12,12,12,0.40172797764550705
16,14,16,18,17,17,18,17,20,20,18,20,21,22,22,0.580256060400477
15,14,15,19,17,19,18,20,18,19,20,20,23,21,21,0.5134111650646974
16,15,14,19,17,18,18,17,17,18,18,17,22,21,22,0.6173086839496368
1,3,2,5,9,9,6,7,6,10,10,10,11,12,11,0.05155100207952257
3,3,1,10,6,5,7,9,8,7,7,7,11,12,12,0.20087970675964795
4,3,2,5,6,10,8,6,8,7,10,9,11,13,13,0.006759892617685281
15,16,14,17,18,18,19,17,18,19,20,20,22,21,22,0.5719374687561264
15,14,16,18,17,19,18,19,20,17,19,20,22,21,21,0.9011923580972979
2,2,3,6,9,10,10,10,9,9,5,7,13,13,12,0.3438286149388806
15,16,16,19,20,17,18,17,18,17,19,19,23,23,23,0.5031101351081173
2,2,4,10,9,9,8,10,10,5,6,8,11,12,12,0.2552795680105491
15,14,15,20,19,19,20,20,20,18,19,20,23,21,23,0.5515853982568765
16,15,15,17,17,20,17,19,19,20,19,19,21,21,23,0.7763038214741467
14,15,14,19,20,19,20,19,17,18,20,18,23,21,23,0.5693151641966048
15,15,14,18,20,18,19,19,18,18,18,17,23,22,21,0.8064465558053299
4,2,3,9,7,6,9,7,8,9,5,8,12,11,12,0.08902701365356891
15,16,14,20,20,19,18,17,19,18,18,17,23,23,22,0.9711881835590663
4,1,4,6,10,8,10,10,7,7,6,5,13,13,12,0.2606866288621259
1,4,3,8,10,10,5,7,7,6,10,6,13,12,11,0.4873953272778262
2,2,2,9,6,7,8,6,5,5,6,9,12,13,13,0.004082680515848036
1,2,3,8,10,6,6,7,5,8,9,9,11,11,11,0.11042133603943682
1,3,1,9,9,5,8,8,5,9,7,10,12,13,13,0.24028082758400948
14,16,14,17,19,17,17,20,18,20,19,18,22,22,21,0.7520035939022608
15,15,16,17,17,17,19,19,18,19,18,19,22,21,22,0.7013510066753483
1,1,1,6,10,8,5,10,9,8,9,7,12,12,12,0.07013833981633277
16,16,16,19,17,17,20,20,19,19,17,17,21,22,21,0.513091800509497
15,16,16,20,20,17,20,19,20,17,19,18,22,21,21,0.94773970839524
16,15,14,17,19,18,20,17,17,19,18,19,23,21,22,0.7301139514586087
4,3,3,9,7,7,6,6,6,10,9,8,11,11,13,0.08167826121595945
3,3,2,6,10,7,10,5,6,7,8,10,13,11,11,0.11256597476091124
15,15,14,19,18,18,17,20,18,20,20,17,22,21,21,0.9846706001841721
16,16,15,20,19,18,18,20,19,17,17,17,22,21,22,0.9036083580992199
4,3,1,10,9,7,7,9,8,5,10,6,13,11,11,0.0651560230790913
16,15,15,19,17,17,17,17,20,19,19,18,23,22,21,0.6994897643472712
15,15,14,17,17,17,18,18,20,18,19,19,21,22,22,0.7112728679451693
4,4,2,9,6,10,9,6,5,5,6,7,13,13,12,0.06010871303972942
4,4,4,5,9,8,9,5,5,6,9,9,12,11,13,0.3496309477247589
16,16,16,17,20,18,17,18,19,20,17,20,22,21,23,0.6568774719707436
16,14,15,18,18,17,20,18,20,18,20,18,22,22,23,0.5019714574014769
15,15,15,17,19,17,18,17,17,20,20,19,23,23,21,0.7630187168245373
16,15,14,17,17,18,18,18,19,17,19,17,23,21,23,0.5149737718402497
15,16,15,17,17,19,20,17,20,17,20,17,23,22,22,0.542435591349061
1,4,1,10,10,8,7,6,8,8,6,8,13,11,12,0.4645488949596881
4,4,2,7,10,6,5,5,6,7,7,8,12,13,11,0.3378818297436381
14,16,15,20,19,20,18,20,17,20,17,17,21,22,22,0.8384061359470564
14,15,16,18,20,20,18,18,19,19,18,17,23,21,22,0.5276350530587955
2,4,3,7,7,10,6,8,10,8,6,5,12,12,13,0.4616271219183894
3,1,4,8,6,7,6,10,6,7,7,7,11,11,13,0.038766862325026574
14,14,14,19,19,17,17,18,17,18,17,17,21,21,21,0.8014522161147156
2,4,2,9,6,10,5,9,5,8,6,9,11,11,13,0.2261742910750849
2,2,3,7,6,5,10,9,8,10,9,5,11,12,12,0.2740516391639646
14,15,16,18,18,20,17,19,19,20,18,20,22,21,21,0.547923933716125
1,4,4,5,5,5,8,7,6,6,9,5,12,12,13,0.2476750204735052
15,14,14,19,18,18,17,20,17,19,18,17,21,22,23,0.9425330976818137
2,3,3,7,6,7,10,6,9,8,5,8,13,11,11,0.1203544556566486
15,15,16,18,19,19,18,17,20,17,18,20,22,23,23,0.6320325107020047
3,2,4,10,10,7,5,10,7,8,10,6,12,11,11,0.12104850972673975
16,16,14,17,17,17,17,17,19,17,20,18,22,23,23,0.6187220367181187
1,3,2,8,10,8,7,5,8,6,8,10,13,11,13,0.3737991507954881
15,15,16,18,18,18,17,20,19,20,19,18,23,22,23,0.7378992279351237
16,15,16,17,19,17,19,19,18,18,17,19,22,21,22,0.8509635403626612
1,1,3,7,7,10,6,10,10,10,9,7,11,13,13,0.30216141005933417
4,4,4,9,6,9,6,8,8,7,7,10,12,11,13,0.4661858091194314
16,16,14,17,18,20,19,17,20,18,19,18,23,21,21,0.9112958174559477
3,3,1,7,9,10,5,5,10,7,8,5,12,12,13,0.21920709182352272
2,1,4,7,9,10,10,7,5,7,5,10,12,13,13,0.06928546690865123
16,16,14,17,20,18,19,18,19,18,17,19,21,23,23,0.515876794781588
3,3,3,6,7,9,9,6,8,10,5,9,12,13,13,0.04908846984912929
4,1,4,5,8,9,7,10,10,10,10,7,11,11,11,0.24200775984949408
15,14,16,20,20,19,19,20,20,18,20,20,21,22,22,0.5595278858251304
4,1,3,6,9,10,5,8,6,8,9,10,13,13,12,0.2683689196301249
2,1,1,9,7,5,10,10,9,6,8,6,13,13,11,0.05335401280309249
14,14,16,17,19,19,17,19,20,18,19,19,21,22,21,0.6884606570374301
4,3,2,9,6,8,9,5,10,10,10,10,13,11,12,0.22935355263550639
16,15,14,19,18,19,17,18,18,19,17,17,22,21,21,0.7868895858215939
1,1,1,5,7,5,10,8,6,6,10,6,11,13,13,0.14987740899454616
16,16,14,19,19,20,18,17,18,20,19,20,22,23,22,0.9842610630400627
4,2,4,8,5,10,10,10,10,7,8,6,12,13,12,0.1475623807991867
3,4,1,7,7,9,10,8,7,7,6,5,12,11,12,0.36386998772175383
3,3,1,5,7,10,7,5,6,5,9,6,13,11,11,0.33972626074833856
3,3,3,10,8,9,6,10,8,9,10,10,13,11,11,0.05684109851179442
15,15,14,20,19,18,17,19,18,17,17,20,23,21,23,0.5271342289634419
2,3,2,10,8,6,6,8,8,8,9,8,11,13,12,0.05204494794824399
14,16,15,17,19,19,20,17,17,17,20,18,21,23,22,0.9528739854884158
15,15,14,17,18,20,20,19,18,17,17,18,22,22,22,0.5300779736804476
4,4,4,9,10,6,5,7,5,9,5,10,13,12,13,0.4544864317604044
15,14,14,19,18,19,19,20,18,20,18,20,22,23,21,0.8017113106327448
14,15,14,18,18,18,20,17,20,17,20,19,23,21,22,0.894438545082615
2,4,3,8,5,9,6,8,6,6,8,7,11,12,13,0.4067610926823638
15,15,16,19,19,20,20,18,17,20,17,18,22,21,22,0.9025087616220047
15,14,14,20,20,17,18,19,17,19,20,18,21,22,23,0.8227858952974826
2,2,4,10,5,10,10,5,8,5,5,10,13,12,12,0.4051497968963502
15,14,16,18,17,20,19,18,17,20,18,18,21,21,22,0.8063119692077352
16,15,14,18,17,17,17,19,19,19,17,18,23,23,22,0.7427044087589124
14,16,15,18,18,19,20,18,17,20,20,20,23,23,21,0.5577078950074705
14,14,15,20,20,19,17,17,20,17,19,18,23,23,21,0.9065417820017955
16,16,14,18,17,20,18,17,20,20,20,18,22,21,21,0.6995921868657355
4,2,4,8,7,9,7,9,7,9,10,6,13,13,11,0.31637071941427697
16,16,16,19,17,20,18,19,17,19,20,20,21,22,22,0.5498097075566037
1,1,4,7,5,6,6,7,7,10,10,5,13,13,13,0.13808654439117607
15,16,14,17,17,20,18,17,20,18,17,18,23,21,22,0.699752894357787
15,15,16,18,18,17,18,20,20,18,18,19,23,21,22,0.8975515610615571
15,16,16,19,18,18,17,20,19,17,17,20,23,21,22,0.9760893705831306
1,3,4,7,7,5,8,10,6,9,7,6,12,11,12,0.057930772124153984
2,2,2,8,6,8,8,5,9,7,6,6,13,13,12,0.43123064729527816
14,16,16,17,17,17,18,18,17,20,19,20,22,21,21,0.5587895499729423
2,3,3,6,9,6,10,10,5,10,9,5,12,12,13,0.3872962351476483
14,16,16,17,17,20,20,18,17,18,20,20,22,23,21,0.7163634055476714
1,4,4,8,9,10,9,5,6,9,7,8,11,11,12,0.3683197567892741
14,14,14,19,20,17,17,20,17,20,17,17,22,22,22,0.7013842203148645
15,16,15,18,18,20,18,17,20,19,19,17,22,22,23,0.5224659998767712
15,16,16,17,19,20,19,18,18,20,17,17,21,21,23,0.6219555933291717
3,3,4,8,7,10,6,8,5,8,7,8,12,11,12,0.2502073918619524
3,2,1,8,5,9,5,7,6,7,7,7,11,11,11,0.012664166117841602
4,2,2,9,6,7,10,5,8,5,10,9,12,12,13,0.06959258939433643
4,3,3,5,5,6,6,5,9,6,7,5,12,12,12,0.4664886673180719
15,14,15,20,17,18,20,19,20,20,20,17,22,23,22,0.830005941780655
15,16,15,19,18,19,20,18,19,17,18,18,22,22,23,0.7467007306100938
16,16,16,18,17,18,18,17,18,17,17,20,22,21,23,0.5499108778214405
3,2,4,10,8,7,10,6,5,5,9,9,13,12,12,0.07360119591022218
15,15,16,17,20,20,17,20,18,20,18,20,23,22,22,0.5217745095886548
4,1,1,7,8,10,9,10,8,9,10,7,13,11,11,0.18694045869071174
2,2,1,10,6,8,9,5,5,7,10,5,12,11,13,0.09256024301115584
16,16,16,17,18,20,20,17,20,18,17,20,21,23,22,0.8984113298918848
15,16,16,18,19,20,20,18,17,20,20,18,23,23,23,0.5714081614512162
1,3,4,7,8,10,8,6,6,8,7,8,13,12,12,0.08560575137779247
16,14,15,19,18,17,19,20,19,17,18,20,22,22,23,0.8411869373071407
16,16,15,17,20,17,19,17,18,17,17,17,23,21,23,0.9430269203521012
16,14,15,20,19,17,17,18,18,18,17,20,22,21,22,0.8924352146958906
2,4,2,6,7,8,7,6,7,7,8,7,13,11,11,0.11715961217787751
3,1,3,7,6,9,7,5,5,8,8,6,12,11,13,0.05810640581649262
14,14,14,20,17,19,20,19,17,18,17,19,23,23,21,0.945556241537531
16,15,15,17,18,18,19,20,17,20,19,18,23,22,22,0.6830857495403605
14,14,14,17,18,17,20,17,17,20,19,20,22,23,22,0.621944692377675
16,16,14,18,17,17,19,19,18,17,20,17,22,22,21,0.635117743943407
16,16,16,18,18,18,17,18,19,17,18,19,23,21,22,0.5140427322749258
1,2,3,10,5,10,6,7,7,7,5,7,11,12,12,0.4168922905151582
14,15,14,18,19,20,20,17,19,17,18,17,23,23,23,0.7208516242913123
15,14,14,19,18,19,20,17,17,19,19,19,22,23,23,0.884482516076517
14,15,16,20,17,19,17,20,20,19,19,20,23,22,21,0.6998241569716442
2,3,2,8,9,5,6,6,7,8,8,6,12,13,13,0.2594874232762455
3,2,4,7,10,5,9,10,6,6,5,8,11,11,11,0.4932013126157566
1,2,1,10,5,10,7,6,5,8,6,5,11,13,11,0.15094279466960214
16,15,16,19,17,18,20,20,18,20,20,19,23,21,22,0.5090778809258386
15,15,16,17,17,19,20,19,20,17,20,20,21,21,21,0.598817617851181
2,1,1,5,10,7,9,6,9,8,7,5,11,11,12,0.2795832992601197
15,16,14,18,19,18,19,20,20,18,19,18,23,23,23,0.8932287349460593
2,3,2,10,7,6,8,7,6,10,7,10,12,13,12,0.055882833030697965
4,4,1,8,8,10,7,6,10,7,5,10,11,11,11,0.20798776305452882
2,2,1,9,9,8,10,8,5,7,8,8,11,11,11,0.014142696013323963
14,16,14,19,20,18,19,20,19,17,20,20,21,22,21,0.6734075965518184
1,3,4,6,8,8,9,6,9,9,10,6,12,11,13,0.3958404865179087
1,3,2,5,6,10,8,8,8,6,5,10,12,11,12,0.07907714440553448
14,15,14,19,18,20,20,19,17,17,19,17,23,23,23,0.8156949762871121
2,1,1,6,7,8,6,5,9,9,7,10,11,11,12,0.2578759762831334
1,3,3,10,6,10,7,5,7,6,5,10,12,11,11,0.31443523374183346
16,16,15,17,17,20,18,20,20,18,19,18,23,23,21,0.9988290347899136
1,1,2,6,5,7,6,6,5,7,10,7,11,13,13,0.39332632160451875
4,2,3,10,7,9,5,10,5,5,9,7,13,13,13,0.026184263084288895
3,3,1,6,9,7,7,9,7,6,7,8,13,13,12,0.49492390246583007
14,15,16,18,20,20,20,20,19,19,17,17,22,22,21,0.9806246508251217
15,15,15,18,19,19,19,17,17,18,20,17,23,22,22,0.6215782096262308
1,2,4,10,8,7,6,5,8,5,6,7,12,12,12,0.04258937728311518
14,16,14,17,19,18,19,17,20,20,18,19,21,23,21,0.6578341357061239
15,14,15,17,19,18,18,18,20,17,19,17,21,21,22,0.8920071708627735
15,15,16,17,20,19,19,18,19,19,20,20,21,21,21,0.7025953142213275
1,4,3,8,10,8,6,9,6,7,8,10,12,13,13,0.03840858447294837
2,2,4,5,10,7,9,8,10,8,7,6,13,11,12,0.26739174205443306
14,16,16,17,19,17,17,18,20,19,20,20,21,21,22,0.8832710539192649
4,1,4,10,9,6,9,8,9,10,6,9,12,12,11,0.15558962808719645
2,2,2,10,7,7,9,6,10,10,6,10,12,13,13,0.27009841144752555
16,16,14,20,20,19,18,18,19,20,17,20,23,23,21,0.7622612671467606
16,16,15,19,18,17,18,18,17,19,17,20,22,21,21,0.530615791110775
4,3,2,6,7,7,10,10,5,10,7,8,13,13,13,0.4708291845696342
4,1,1,6,10,5,5,6,8,7,10,7,13,12,13,0.06468276265084882
16,15,15,20,19,18,19,19,19,17,19,20,22,22,22,0.692282707200064
2,3,1,7,5,9,10,10,8,6,10,7,11,11,12,0.3384865090451967
16,15,15,18,19,17,18,17,19,19,18,18,22,21,23,0.8322483738085924
14,16,15,19,18,17,19,17,19,19,20,19,21,21,23,0.9109836266671042
4,1,3,10,7,8,9,6,5,5,10,10,13,13,11,0.29879193850191843
14,14,16,17,17,19,20,18,19,20,19,20,23,22,21,0.8378300355544728
4,3,3,5,6,5,5,9,5,8,10,8,12,12,11,0.37732340266723163
15,15,15,19,18,19,17,18,18,20,19,19,22,21,23,0.9861209701443138
14,14,14,19,18,17,20,18,18,20,19,17,22,23,23,0.6689717286778407
16,16,15,20,20,19,20,18,19,18,17,18,22,23,22,0.6333703936979993
